No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish,id,latitude,longitude
344,2018,KALIMANTAN SELATAN,6302,KOTABARU,1.88,336719,6330,6302,-3.0,116.0
345,2018,KALIMANTAN SELATAN,6303,BANJAR,3.45,580026,20011,6303,-3.31667,115.08333
346,2018,KALIMANTAN SELATAN,6304,BARITO KUALA,4.12,310016,12773,6304,-3.08333,114.61667
347,2018,KALIMANTAN SELATAN,6305,TAPIN,2.76,189081,5219,6305,-2.91667,115.03333
348,2018,KALIMANTAN SELATAN,6306,HULU SUNGAI SELATAN,4.15,235217,9762,6306,-2.75,115.2
349,2018,KALIMANTAN SELATAN,6307,HULU SUNGAI TENGAH,4.87,269384,13119,6307,-2.61667,115.41667
350,2018,KALIMANTAN SELATAN,6308,HULU SUNGAI UTARA,3.15,234604,7390,6308,-2.45,115.13333
351,2018,KALIMANTAN SELATAN,6309,TABALONG,2.57,250809,6446,6309,-1.88333,115.5
352,2018,KALIMANTAN SELATAN,6310,TANAH BUMBU,1.34,351673,4712,6310,-3.45413,115.70372
353,2018,KALIMANTAN SELATAN,6311,BALANGAN,4.05,129505,5245,6311,-2.32314,115.62922
354,2018,KALIMANTAN SELATAN,6371,KOTA BANJARMASIN,1.54,700869,10793,6371,-3.32444,114.59102
355,2018,KALIMANTAN SELATAN,6372,KOTA BANJARBARU,1.37,255597,3502,6372,-3.41667,114.83333
356,2018,KALIMANTAN TIMUR,6401,PASER,15.71,279975,43984,6401,-1.43517,116.23535
357,2018,KALIMANTAN TIMUR,6402,KUTAI BARAT,14.7,147598,21697,6402,-0.59417,115.51575
358,2018,KALIMANTAN TIMUR,6403,KUTAI KARTANEGARA,14.3,769337,110015,6403,-0.44019,116.98139
359,2018,KALIMANTAN TIMUR,6404,KUTAI TIMUR,9.31,361670,33671,6404,1.03769,117.83112
360,2018,KALIMANTAN TIMUR,6405,BERAU,7.13,226509,16150,6405,2.0,117.3
361,2018,KALIMANTAN TIMUR,6409,PENAJAM PASER UTARA,15.68,159386,24992,6409,-1.25,116.83333
362,2018,KALIMANTAN TIMUR,6411,MAHAKAM ULU,9.98,26347,2629,6411,0.37822,115.38048
363,2018,KALIMANTAN TIMUR,6471,KOTA BALIKPAPAN,5.82,645727,37581,6471,-1.16667,116.88333
364,2018,KALIMANTAN TIMUR,6472,KOTA SAMARINDA,8.36,858080,71735,6472,-0.43333,117.18333
365,2018,KALIMANTAN TIMUR,6474,KOTA BONTANG,6.3,174206,10975,6474,0.12526,117.49603
366,2018,KALIMANTAN UTARA,6501,MALINAU,10.9,87032,9486,6501,2.45,115.68333
367,2018,KALIMANTAN UTARA,6502,BULUNGAN,13.61,138878,18901,6502,3.0,117.16667
368,2018,KALIMANTAN UTARA,6503,TANA TIDUNG,11.27,26892,3031,6503,3.55,117.25
369,2018,KALIMANTAN UTARA,6504,NUNUKAN,14.77,201580,29773,6504,4.13333,116.7
370,2018,KALIMANTAN UTARA,6571,KOTA TARAKAN,7.1,262025,18604,6571,3.36667,117.6
371,2018,SULAWESI UTARA,7101,BOLAANG MONGONDOW,3.38,244185,8253,7101,0.75,124.08333
372,2018,SULAWESI UTARA,7102,MINAHASA,3.17,338364,10726,7102,1.2537,124.83
373,2018,SULAWESI UTARA,7103,KEPULAUAN SANGIHE,3.82,130833,4998,7103,3.5,125.55
374,2018,SULAWESI UTARA,7104,KEPULAUAN TALAUD,4.47,91599,4094,7104,4.31178,126.78085
375,2018,SULAWESI UTARA,7105,MINAHASA SELATAN,5.68,209501,11900,7105,1.21291,124.59708
376,2018,SULAWESI UTARA,7106,MINAHASA UTARA,2.92,202317,5908,7106,1.4025,124.96
377,2018,SULAWESI UTARA,7107,BOLAANG MONGONDOW UTARA,5.34,79366,4238,7107,0.78527,123.41766
378,2018,SULAWESI UTARA,7108,KEPULAUAN SIAU TAGULANDANG BIARO,3.73,66225,2470,7108,2.11728,125.37512
379,2018,SULAWESI UTARA,7109,MINAHASA TENGGARA,4.18,106303,4443,7109,1.05633,124.7925
380,2018,SULAWESI UTARA,7110,BOLAANG MONGONDOW SELATAN,4.95,65127,3224,7110,0.40912,123.75961
381,2018,SULAWESI UTARA,7111,BOLAANG MONGONDOW TIMUR,2.96,71477,2116,7111,0.72073,124.50256
