No,Tahun,Provinsi,Kode_Kabupaten_Kota,Kabupaten_Kota,PoU,Jumlah_Penduduk,Penduduk_Undernourish
2444,2022,SULAWESI TENGAH,7203,MOROWALI,6.69,167468,11204
2445,2022,SULAWESI TENGAH,7204,POSO,8.98,249231,22381
2446,2022,SULAWESI TENGAH,7205,DONGGALA,14.81,305552,45252
2447,2022,SULAWESI TENGAH,7206,TOLITOLI,14.23,229450,32651
2448,2022,SULAWESI TENGAH,7207,BUOL,10.03,148664,14911
2449,2022,SULAWESI TENGAH,7208,PARIGI MOUTONG,12.36,449530,55562
2450,2022,SULAWESI TENGAH,7209,TOJO UNA UNA,9.31,167175,15564
2451,2022,SULAWESI TENGAH,7210,SIGI,14.12,263316,37180
2452,2022,SULAWESI TENGAH,7211,BANGGAI LAUT,11.26,72157,8125
2453,2022,SULAWESI TENGAH,7212,MOROWALI UTARA,7.40,124174,9189
2454,2022,SULAWESI TENGAH,7271,KOTA PALU,11.95,382471,45705
2455,2022,SULAWESI SELATAN,7301,KEPULAUAN SELAYAR,13.60,139658,18993
2456,2022,SULAWESI SELATAN,7302,BULUKUMBA,14.70,445815,65535
2457,2022,SULAWESI SELATAN,7303,BANTAENG,11.58,200843,23258
2458,2022,SULAWESI SELATAN,7304,JENEPONTO,15.15,409893,62099
2459,2022,SULAWESI SELATAN,7305,TAKALAR,14.23,308527,43903
2460,2022,SULAWESI SELATAN,7306,GOWA,11.50,788159,90638
2461,2022,SULAWESI SELATAN,7307,SINJAI,11.93,264622,31569
2462,2022,SULAWESI SELATAN,7308,MAROS,9.72,402148,39089
2463,2022,SULAWESI SELATAN,7309,PANGKAJENE KEPULAUAN,6.15,352056,21651
2464,2022,SULAWESI SELATAN,7310,BARRU,11.81,186678,22047
2465,2022,SULAWESI SELATAN,7311,BONE,15.01,816013,122484
2466,2022,SULAWESI SELATAN,7312,SOPPENG,15.03,237120,35639
2467,2022,SULAWESI SELATAN,7313,WAJO,12.09,383926,46417
2468,2022,SULAWESI SELATAN,7314,SIDENRENG RAPPANG,8.71,325058,28313
2469,2022,SULAWESI SELATAN,7315,PINRANG,12.21,413966,50545
2470,2022,SULAWESI SELATAN,7316,ENREKANG,11.32,231121,26163
2471,2022,SULAWESI SELATAN,7317,LUWU,11.78,374316,44094
2472,2022,SULAWESI SELATAN,7318,TANA TORAJA,15.03,286451,43054
